Area,AreaName,StateAb,State,CountyTownName,Area,SocCode,GeoLvl,Level1,Level2,Level3,Level4,Average,Label
10740,"Albuquerque, NM",NM,New Mexico,Bernalillo County,10740,17-2021,4,35.04,43.5,51.95,60.41,52.04,Agricultural Engineers
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Catron County,22140,17-2021,4,35.04,43.5,51.95,60.41,52.04,Agricultural Engineers
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Chaves County,29740,17-2021,4,35.04,43.5,51.95,60.41,52.04,Agricultural Engineers
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Cibola County,42140,17-2021,4,35.04,43.5,51.95,60.41,52.04,Agricultural Engineers
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Colfax County,3500006,17-2021,4,35.04,43.5,51.95,60.41,52.04,Agricultural Engineers
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Curry County,3500007,17-2021,4,35.04,43.5,51.95,60.41,52.04,Agricultural Engineers
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,De Baca County,,,,,,,,,
29740,"Las Cruces, NM",NM,New Mexico,Dona Ana County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Eddy County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Grant County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Guadalupe County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Harding County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Hidalgo County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Lea County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Lincoln County,,,,,,,,,
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Los Alamos County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Luna County,,,,,,,,,
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,McKinley County,,,,,,,,,
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Mora County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Otero County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Quay County,,,,,,,,,
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Rio Arriba County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Roosevelt County,,,,,,,,,
22140,"Farmington, NM",NM,New Mexico,San Juan County,,,,,,,,,
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,San Miguel County,,,,,,,,,
10740,"Albuquerque, NM",NM,New Mexico,Sandoval County,,,,,,,,,
42140,"Santa Fe, NM",NM,New Mexico,Santa Fe County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Sierra County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Socorro County,,,,,,,,,
3500006,Northern New Mexico nonmetropolitan area,NM,New Mexico,Taos County,,,,,,,,,
10740,"Albuquerque, NM",NM,New Mexico,Torrance County,,,,,,,,,
3500007,Eastern New Mexico nonmetropolitan area,NM,New Mexico,Union County,,,,,,,,,
10740,"Albuquerque, NM",NM,New Mexico,Valencia County,,,,,,,,,
