fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2022,value_2022,
,350,350,,,1,,1,1,200.766893,520.787296,274.3496844
,350,350,,,5,,1,1,0.001002,0.001082,
,350,350,,,1,,2,1,240.822146,69.122904,
,350,350,,,1,,3,1,719.033668,575.160095,
,350,350,,,5,,3,1,0.187821,0.419457,
,350,350,,,1,,4,1,1244.191559,209.821124,
,350,350,,,1,,5,1,40.005033,339.413307,
,350,350,,,1,,6,1,47.280779,116.695122,
,350,350,,,5,,6,1,0.00243,1.44676,
,350,350,,,1,,7,1,2367.485892,1147.436104,
,350,350,,,2,,7,1,103.021239,2.291286,
,350,350,,,5,,7,1,0.001016,0.001008,
,350,350,,,7,,7,1,33.591029,37.220321,
,350,350,,,1,,8,1,369.999751,933.379157,
,350,350,,,5,,8,1,0.00129,2.79767,
,350,350,,,1,,10,1,23.911835,58.283414,
,350,350,,,1,,11,1,754.078184,17.098194,
,350,350,,,1,,12,1,89492.56633,1352.009443,
,350,350,,,2,,12,1,16.042011,0.001268,
,350,350,,,1,,13,1,151.548191,6.676822,
,350,350,,,2,,13,1,133.4326,2.015714,
,350,350,,,5,,13,1,5.642281,0.001057,
,350,350,,,2,,15,1,0.001,0.001031,
,350,350,,,1,,16,1,89.3,56.133227,
,350,350,,,6,,16,1,690.2,433.779413,
,350,350,,,1,,17,1,884.65069,638.586499,
,350,350,,,1,,18,1,338.777332,370.883418,
,350,350,,,6,,18,1,821.99142,619.988051,
,350,350,,,1,,19,1,26415.58739,2546.08886,
,350,350,,,2,,19,1,0.29155,0.941994,
,350,350,,,6,,19,1,25500.02667,7717.1415,
,350,350,,,1,,20,1,360.123165,328.451644,
,350,350,,,2,,20,1,274.495426,3.9937,
,350,350,,,5,,20,1,0.809549,0.026032,
,350,350,,,7,,20,1,0.00118,0.001039,
,350,350,,,1,,21,1,10.494998,288.503705,
,350,350,,,5,,21,1,0.083961,10.845394,
,350,350,,,1,,22,1,625.165674,402.904671,
,350,350,,,2,,22,1,48.004764,34.059091,
,350,350,,,1,,23,1,171.247115,424.410998,
,350,350,,,5,,23,1,6.336437,159.260684,
,350,350,,,7,,23,1,5.081624,117.053824,
,350,350,,,1,,24,1,99.066455,568.461958,
,350,350,,,5,,24,1,0.29223,3.313608,
,350,350,,,1,,25,1,262.300973,5.335202,
,350,350,,,1,,26,1,540.200073,872.244749,
,350,350,,,5,,26,1,0.002268,0.223011,
,350,350,,,1,,27,1,31.988232,36.304847,
,350,350,,,1,,28,1,59.299152,171.420397,
,350,350,,,5,,28,1,0.001369,0.00116,
,350,350,,,1,,29,1,18.161642,123.389172,
,350,350,,,5,,29,1,1.096721,25.88328,
,350,350,,,1,,30,1,10.249597,102.651258,
,350,350,,,5,,30,1,1.725526,17.715381,
,350,350,,,1,,31,1,31007.70198,2606.114969,
,350,350,,,5,,31,1,0.022571,0.667995,
,350,350,,,1,,32,1,123.261924,236.221703,
,350,350,,,5,,32,1,0.045155,0.001143,
,350,350,,,1,,33,1,267.368398,1858.930866,
,350,350,,,5,,33,1,0.109511,17.639865,
,350,350,,,1,,34,1,108.997957,1303.770341,
,350,350,,,2,,34,1,3.866133,0.109849,
,350,350,,,5,,34,1,0.630378,27.768619,
,350,350,,,7,,34,1,0.001217,0.497224,
,350,350,,,1,,35,1,130.800423,1813.889278,
,350,350,,,5,,35,1,0.881251,107.620095,
,350,350,,,7,,35,1,0.00315,7.299158,
,350,350,,,1,,36,1,22.785886,254.913119,
,350,350,,,5,,36,1,3.575723,83.324744,
,350,350,,,7,,36,1,0.001023,0.001051,
,350,350,,,1,,37,1,0.704067,13.985689,
,350,350,,,1,,38,1,8.223992,236.530973,
,350,350,,,5,,38,1,0.001003,0.040076,
,350,350,,,1,,39,1,181.345261,956.790824,
,350,350,,,1,,40,1,269.415298,827.491394,
,350,350,,,5,,40,1,6.304672,216.847758,
,350,350,,,1,,41,1,2800.702071,54.23473,
,350,350,,,2,,41,1,8.240263,5.914228,
,350,350,,,7,,41,1,11.380916,5.757672,
,350,350,,,1,,43,1,1177.619121,3532.919827,
,350,350,,,5,,43,1,3.577014,36.209781,
802,350,350,,1,1,,1,2,8.187033,23.489929,
802,350,350,,1,1,,2,2,1.618174,0.743343,
