Entity,State,Ownership,Average Price (cents/kWh)
"Central New Mexico El Coop, Inc",NM,Cooperative,17.161451
"Central Valley Elec Coop, Inc",NM,Cooperative,8.9065668
City of Farmington - (NM),NM,Municipal,12.688193
Continental Divide El Coop Inc,NM,Cooperative,16.018267
El Paso Electric Co,NM,Investor Owned,10.160948
"Farmers Electric Coop, Inc - (NM)",NM,Cooperative,12.865706
"Jemez Mountains Elec Coop, Inc",NM,Cooperative,15.359734
"Kit Carson Electric Coop, Inc",NM,Cooperative,18.18015
"Lea County Electric Coop, Inc - (NM)",NM,Cooperative,10.067566
Los Alamos County,NM,Municipal,14.148292
Navajo Tribal Utility Authority,NM,State,16.530781
"Navopache Electric Coop, Inc",NM,Cooperative,14.937708
Otero County Electric Coop Inc,NM,Cooperative,17.652718
"Palmetto Solar, LLC",NM,Behind the Meter,10.438379
Public Service Co of NM,NM,Investor Owned,15.570674
"Rio Grande Electric Coop, Inc",NM,Cooperative,18.296919
Roosevelt County Elec Coop Inc,NM,Cooperative,12.067559
Southwestern Electric Coop Inc - (NM),NM,Cooperative,24.088415
Southwestern Public Service Co,NM,Investor Owned,11.977946
"Springer Electric Coop, Inc",NM,Cooperative,19.005128
"Tri-County Electric Coop, Inc (OK)",NM,Cooperative,38.0
