Water System,County,Res Water Rate (6k gal),Comm Water Rate (6k gal), Avg. Res rate  ,Avg. Comm rate,
DESERT PALMS MOBILE HOME PARK,BERNALILLO,N/A,N/A,$98.85 ,$131.07 ,
ENTRANOSA WATER ASSOCIATION,BERNALILLO,$59.68 ,$59.68 ,$98.85 ,$131.07 ,
FOX HILLS WATER USERS ASSOC,BERNALILLO,$43.00 ,N/A,$98.85 ,$131.07 ,
GREEN ACRES MOBILE HOME VILLAGE,BERNALILLO,N/A,N/A,$98.85 ,$131.07 ,
TIJERAS WATER COOPERATIVE,BERNALILLO,$81.60 ,$122.40 ,$98.85 ,$131.07 ,
TRANQUILLO PINES WATER COOP,BERNALILLO,$211.12 ,$211.12 ,$98.85 ,$131.07 ,
Aragon MDWCA,Catron,$47.31 ,$47.31 ,$47.31 ,$47.31 ,
Fambrough MDWCA,Chaves,$58.43 ,N/A, NPR39.94 ,N/A,
BERRENDO COOPERATIVE WUA,CHAVES,$30.00 ,N/A, NPR39.94 ,N/A,
Bluewater Acres WUA,Cibola,$49.88 ,N/A,$54.62 ,$90.80 ,
Bluewater Water And Sanitation District,Cibola,$59.35 ,$90.80 ,$54.62 ,$90.80 ,
Anthony W&SD,Dona Ana,$40.28 ,$57.66 , NPR32.76 ,$39.05 ,
Chamberino MDWC & Sa,Dona Ana,$42.85 ,$57.66 , NPR32.76 ,$39.05 ,
Dona Ana MDWCA,Dona Ana,$40.30 ,$40.30 , NPR32.76 ,$39.05 ,
Garfield MDWCA,Dona Ana,$35.50 ,$35.50 , NPR32.76 ,$39.05 ,
Las Cruces Municipal Water System,Dona Ana,$22.15 ,$27.69 , NPR32.76 ,$39.05 ,
MOONGATE WATER SYSTEM,Dona Ana,$15.50 ,$15.50 , NPR32.76 ,$39.05 ,
Artesia Municipal Water System,Eddy,$10.02 ,$21.52 , NPR32.02 , NPR43.09 ,
Carlsbad Municipal Water System,Eddy,$17.45 ,$20.66 , NPR32.02 , NPR43.09 ,
Cottonwood Water MDWCA,Eddy,$54.89 ,$61.43 , NPR32.02 , NPR43.09 ,
ARTESIA RURAL WATER COOPERATIVE,Eddy,$42.91 ,$77.01 , NPR32.02 , NPR43.09 ,
CAPROCK WATER COMPANY,Eddy,$34.84 ,$34.84 , NPR32.02 , NPR43.09 ,
Arenas Valley MDWCA,Grant,$49.56 ,$49.56 , NPR43.77 , NPR43.77 ,
Silver City Water System,Grant,$37.98 ,$37.98 , NPR43.77 , NPR43.77 ,
GLEN ACRES WATER COOP,HIDALGO,$59.59 ,$420.00 ,$59.59 ,$420.00 ,
Eunice Water Supply System,Lea,$19.36 ,$31.38 ,$19.36 ,$31.38 ,
Capitan Water System,Lincoln,$44.28 ,$68.35 ,$33.81 ,$51.31 ,
Corona Water System,Lincoln,$32.19 ,$32.19 ,$33.81 ,$51.31 ,
ALPINE VILLAGE W AND SD,Lincoln,$18.00 ,N/A,$33.81 ,$51.31 ,
ALTO NORTH WATER COOP,Lincoln,$55.00 ,$60.00 ,$33.81 ,$51.31 ,
BONITA PARK NAZARENE,Lincoln,$8.67 ,N/A,$33.81 ,$51.31 ,
CDS RAINMAKERS UTIL LLC,Lincoln,$44.69 ,$44.69 ,$33.81 ,$51.31 ,
Los Alamos Municipal Water System,Los Alamos,$58.19 ,$58.19 ,$58.19 ,$58.19 ,
Cider Mill Farms MDWCA,Otero,$65.00 ,N/A, NPR45.93 ,$62.31 ,
Cloudcroft Water System,Otero,$62.31 ,$62.31 , NPR45.93 ,$62.31 ,
BOLES ACRES WATER SYSTEM,Otero,$49.60 ,N/A, NPR45.93 ,$62.31 ,
CLOUD COUNTRY WEST,Otero,$6.81 ,N/A, NPR45.93 ,$62.31 ,
Canjilon Water System,Rio Arriba,$50.00 ,$150.00 , NPR41.94 ,$150.00 ,
Chama West Water Users Association,Rio Arriba,$70.00 ,N/A, NPR41.94 ,$150.00 ,
El Rito Canyon MDWCA,Rio Arriba,$29.25 ,N/A, NPR41.94 ,$150.00 ,
El Rito Regional Water & Waste Water Asn,Rio Arriba,$18.50 ,"$1,850.00 ", NPR41.94 ,$150.00 ,
Causey Water System,Roosevelt,$24.00 ,$24.00 ,$55.03 ,$99.51 ,
Floyd WS Village of,Roosevelt,$38.00 ,$38.00 ,$55.03 ,$99.51 ,
ROOSEVELT COUNTY WUA,Roosevelt,$103.10 ,$236.52 ,$55.03 ,$99.51 ,
Apple Orchard MDWCA,San Juan,$70.00 ,N/A, NPR63.11 ,$73.98 ,
Bloomfield Water Supply System,San Juan,$46.32 ,$46.32 , NPR63.11 ,$73.98 ,
Flora Vista Mutual Domestic,San Juan,$73.00 ,$101.63 , NPR63.11 ,$73.98 ,
Big Mesa Water MDWCA,San Miguel,$45.00 ,$70.00 , NPR39.81 ,$142.32 ,
Chapelle MDWCA,San Miguel,$30.00 ,N/A, NPR39.81 ,$142.32 ,
East Pecos MDWCA,San Miguel,$30.00 ,N/A, NPR39.81 ,$142.32 ,
El Ancon MDWCA,San Miguel,$31.50 ,N/A, NPR39.81 ,$142.32 ,
El Coruco MDWCA,San Miguel,$50.40 ,N/A, NPR39.81 ,$142.32 ,
Las Vegas (City Of),San Miguel,$51.98 ,$214.63 , NPR39.81 ,$142.32 ,
Algodones WUA,Sandoval,$37.49 ,$37.49 , NPR58.54 , NPR53.05 ,
Canon MDWCA,Sandoval,$76.65 ,$76.65 , NPR58.54 , NPR53.05 ,
Cuba Water System,Sandoval,$30.00 ,$45.00 , NPR58.54 , NPR53.05 ,
CEDAR CREEK WATER CO-OP,Sandoval,$90.00 ,N/A, NPR58.54 , NPR53.05 ,
Agua Fria Water Association,Santa Fe,$68.80 ,N/A,$99.81 ,$159.84 ,
